نوع البطولة,الفريق الأول,الفريق الثاني,موعد المباراة,نتيجة المباراة
الدوري الإنجليزي,توتنهام هوتسبر,إيبسويتش تاون,16:00,1 - 2 
الدوري الإنجليزي,مانشستر يونايتد,ليستر سيتي,16:00,3 - 0 
الدوري الإنجليزي,نوتينجهام فورست,نيوكاسل,16:00,1 - 3 
الدوري الإنجليزي,تشيلسي,أرسنال,18:30,1 - 1 
,,,,
الدوري الإسباني,ريال بيتيس,سيلتا فيجو,15:00,2 - 2 
الدوري الإسباني,مايوركا,اتلتيكو مدريد,17:15,0 - 1 
الدوري الإسباني,خيتافي,جيرونا,19:30,0 - 1 
الدوري الإسباني,بلد الوليد,أتلتيك بلباو,19:30,1 - 1 
الدوري الإسباني,ريال سوسيداد,برشلونة,22:00,1 - 0 
,,,,
الدوري الألماني,أوجسبورج,هوفنهايم,16:30,0 - 0 
الدوري الألماني,شتوتجارت,آ. فرانكفورت,18:30,2 - 3 
الدوري الألماني,هايدنهايم,فولفسبورج,20:30,1 - 3 
,,,,
دوري القسم الثاني-أ,المنصورة,الداخلية,14:30,0 - 0 
دوري القسم الثاني-أ,منتخب السويس,بترول أسيوط,14:30,2 - 2 
دوري القسم الثاني-أ,ديروط,المصرية للاتصالات,14:30,1 - 2 
دوري القسم الثاني-أ,أسوان,سبورتنج,14:30,1 - 1 
دوري القسم الثاني-أ,راية الرياضي,القناة,17:00,3 - 0 
,,,,
الدوري الفرنسي,نيس,ليل,16:00,2 - 2 
الدوري الفرنسي,مونبيليه,بريست,18:00,3 - 1 
الدوري الفرنسي,لوهافر,ريمس,18:00,0 - 3 
الدوري الفرنسي,رين,تولوز,18:00,0 - 2 
الدوري الفرنسي,ليون,سانت اتيان,21:45,1 - 0 
,,,,
الدوري الإيطالي,أتالانتا,أودينيزي,13:30,2 - 1 
الدوري الإيطالي,روما,بولونيا,16:00,2 - 3 
الدوري الإيطالي,فيورنتينا,هيلاس فيرونا,16:00,3 - 1 
الدوري الإيطالي,مونزا,لاتسيو,19:00,0 - 1 
الدوري الإيطالي,إنتر ميلان,نابولي,21:45,1 - 1 
,,,,
الدوري التركي,جوزتيبي,قونيا سبور,12:30,2 - 0 
الدوري التركي,جالاتا سراي,سامسون سبور,15:00,3 - 2 
الدوري التركي,فنربخشة,سيفاسبور,18:00,4 - 0 
الدوري التركي,إسطنبول باشاكشهير,بشكتاش,18:00,0 - 0 
,,,,
الدوري البرتغالي,إستريلا,ناسيونال ماديرا,17:30,2 - 0 
الدوري البرتغالي,سانتا كلارا,فيتوريا جيماريش,18:30,1 - 0 
الدوري البرتغالي,سبورتينج براجا,سبورتينج لشبونة,20:45,2 - 4 
الدوري البرتغالي,بنفيكا,بورتو,22:45,4 - 1 
,,,,
الدوري المغربي,حسنية اغادير,شباب المحمدية,17:00,2 - 1 
الدوري المغربي,الاتحاد التوركي,نهضة بركان,19:00,0 - 1 
,,,,
الدوري التونسي,البنزرتي,النجم الساحلى,15:30,1 - 2 
الدوري التونسي,النجم الرياضي بالمتلوي,إتحاد بن قردان,15:30,1 - 1 
الدوري التونسي,سليمان الرياضي,قوافل قفصة,15:30,1 - 1 
الدوري التونسي,الإتحاد المنستيري,الصفاقســــي,17:00,1 - 1 
,,,,
